season,avg_first_innings_score
2008,161.0
2009,150.3
2010,164.8
2011,152.4
2012,157.5
2013,155.9
2014,163.1
2015,166.3
2016,162.6
2017,165.8
2018,172.5
2019,166.7
2021,164.4
2022,171.1
2023,182.7
2024,189.6
2025,188.8
2026,193.0
